STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,10.96,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2021,,15.249,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU7,Northern Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2022,,14.375,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU4,South Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2022,,10.647,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU3,Queensland,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2022,,11.795,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU5,Western Australia,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2022,,11.976,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2022,,12.289,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2022,,12.241,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2022,,11.725,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2022,,10.216,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU6,Tasmania,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2023,,9.999,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU2,Victoria,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2023,,10.921,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU8,Australian Capital Territory,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2023,,11.127,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_FERTILITY(2.4),Fertility - Regions,I,A,Annual,TL2,TL2,AU1,New South Wales,_Z,Not applicable,LIVE_BIRTHS,Live births,Y0,0 years,_T,Total,10P3HB,Per 1 000 inhabitants,2023,,11.111,,AUS,Australia,A,Normal value,0,Units,2,Two
